Date,Start Time,Player Name,Stat Type,Line Score,Odds Type,Headshot URL,Data ID,Over %,Under %,No-Vig Over %,No-Vig Under %,True Point,Average Line,Average Over %,Average Under %,Average No-Vig Over %,Average No-Vig Under %,Percent Difference,Max No-Vig %,Bet Tag,Projection,Projection vs Line,Edge %,Correlates,Team,Game Short Title,Fav,O/U,Callout Bet Tag,Position
N/A,9/19/2026,Trinidad Chambliss,Pass Yards,277.5,standard,https://static.prizepicks.com/images/players/NCAAFB/Trinidad_Chambliss_NCAAFB_player_7ll8UmfZBnctFyqHVT33iziC-450.webp,https://static.prizepicks.com/images/players/NCAAFB/Trinidad_Chambliss_NCAAFB_player_7ll8UmfZBnctFyqHVT33iziC-450.webp,57.81,57.81,50,50,264.43,274,54.52,54.38,50.06,49.94,0.06,50.06,Over,269.49,-8.01,43.51,No,,,,,,
N/A,9/19/2026,Keelon Russell,Pass+Rush Yds,339.5,demon,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_MYMv2JsIUPRTmWFmLUbtGlf/12.webp,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_MYMv2JsIUPRTmWFmLUbtGlf/12.webp,57.81,57.81,50,50,309.36,287.14,53.87,53.87,50,50,0,50,Over,287.61,-51.89,35.32,No,,,,,,
N/A,9/19/2026,Keelon Russell,Pass+Rush Yds,329.5,demon,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_MYMv2JsIUPRTmWFmLUbtGlf/12.webp,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_MYMv2JsIUPRTmWFmLUbtGlf/12.webp,57.81,57.81,50,50,309.36,287.14,53.87,53.87,50,50,0,50,Over,287.61,-41.89,40.06,No,,,,,,
N/A,9/19/2026,Keelon Russell,Pass Yards,324.5,demon,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_MYMv2JsIUPRTmWFmLUbtGlf/12.webp,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_MYMv2JsIUPRTmWFmLUbtGlf/12.webp,57.81,57.81,50,50,256,256.64,53.94,53.79,50.07,49.93,0.07,50.07,Over,255.94,-68.56,19.59,No,,,,,,
N/A,9/19/2026,Keelon Russell,Pass Yards,299.5,demon,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_MYMv2JsIUPRTmWFmLUbtGlf/12.webp,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_MYMv2JsIUPRTmWFmLUbtGlf/12.webp,57.81,57.81,50,50,256,256.64,53.94,53.79,50.07,49.93,0.07,50.07,Over,255.94,-43.56,29.33,No,,,,,,
N/A,9/19/2026,Keelon Russell,Pass Yards,274.5,demon,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_MYMv2JsIUPRTmWFmLUbtGlf/12.webp,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_MYMv2JsIUPRTmWFmLUbtGlf/12.webp,57.81,57.81,50,50,256,256.64,53.94,53.79,50.07,49.93,0.07,50.07,Over,255.94,-18.56,40.86,No,,,,,,
N/A,9/19/2026,Keelon Russell,Pass+Rush Yds,259.5,goblin,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_MYMv2JsIUPRTmWFmLUbtGlf/12.webp,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_MYMv2JsIUPRTmWFmLUbtGlf/12.webp,57.81,57.81,50,50,309.36,287.14,53.87,53.87,50,50,0,50,Over,287.61,28.11,73.34,Yes,,,,,,
N/A,9/19/2026,Keelon Russell,Pass Yards,258.5,standard,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_MYMv2JsIUPRTmWFmLUbtGlf/12.webp,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_MYMv2JsIUPRTmWFmLUbtGlf/12.webp,57.81,57.81,50,50,256,256.64,53.94,53.79,50.07,49.93,0.07,50.07,Over,255.94,-2.56,48.75,No,,,,,,
N/A,9/19/2026,Keelon Russell,Pass+Rush Yds,249.5,goblin,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_MYMv2JsIUPRTmWFmLUbtGlf/12.webp,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_MYMv2JsIUPRTmWFmLUbtGlf/12.webp,57.81,57.81,50,50,309.36,287.14,53.87,53.87,50,50,0,50,Over,287.61,38.11,77.28,Yes,,,,,,
N/A,9/19/2026,Ashton Daniels,Pass Yards,224.5,demon,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_vhzO09P2zvgFNG6JtOftrCmN/14.webp,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_vhzO09P2zvgFNG6JtOftrCmN/14.webp,57.81,57.81,50,50,147.47,146.5,54.78,53.38,50.67,49.33,0.67,50.67,Over,146.76,-77.74,16.78,No,,,,,,
N/A,9/19/2026,Keelon Russell,Pass Yards,224.5,goblin,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_MYMv2JsIUPRTmWFmLUbtGlf/12.webp,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_MYMv2JsIUPRTmWFmLUbtGlf/12.webp,57.81,57.81,50,50,256,256.64,53.94,53.79,50.07,49.93,0.07,50.07,Over,255.94,31.44,65.31,Yes,,,,,,
N/A,9/19/2026,Ashton Daniels,Pass+Rush Yds,219.5,demon,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_vhzO09P2zvgFNG6JtOftrCmN/14.webp,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_vhzO09P2zvgFNG6JtOftrCmN/14.webp,57.81,57.81,50,50,190.01,176,53.98,53.89,50.05,49.95,0.05,50.05,Over,175.47,-44.03,35.62,No,,,,,,
N/A,9/19/2026,Ashton Daniels,Pass+Rush Yds,209.5,demon,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_vhzO09P2zvgFNG6JtOftrCmN/14.webp,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_vhzO09P2zvgFNG6JtOftrCmN/14.webp,57.81,57.81,50,50,190.01,176,53.98,53.89,50.05,49.95,0.05,50.05,Over,175.47,-34.03,40.38,No,,,,,,
N/A,9/19/2026,Ashton Daniels,Pass Yards,199.5,demon,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_vhzO09P2zvgFNG6JtOftrCmN/14.webp,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_vhzO09P2zvgFNG6JtOftrCmN/14.webp,57.81,57.81,50,50,147.47,146.5,54.78,53.38,50.67,49.33,0.67,50.67,Over,146.76,-52.74,25.77,No,,,,,,
