Source,Sport,Player ID,Player Name,Position,Team,Stat Type,Line Score,Adjusted Odds,Implied Probability,Date,Start Time (CST),Status,League,Odds Type,Headshot URL,Data ID,Average Line,Average No-Vig Over %,Average No-Vig Under %,Percent Difference,Max No-Vig %,Bet Tag,Player Image,Game Start Time,Fav,Spread,O/U,Game Short Title,Scheduled At,Match Progress,Venue Name,Venue Type,Broadcasts,Max No-Vig % Price,True Price,Date,True Point Average Line,EST. Return Date,Injury Status,Comment,Starter,Opp,PrizePicks,Opportunities,Edge % Over,Edge % Under,Edge %,DvP Projection,DVP Rank,Opp +/-,DVP Bet,Average Projected,DVP Adjusted,Total Projection,Underdog Line,Callout Bet Tag
PrizePicks,MLB,68710,Drew Rasmussen,P,TB,Pitcher Strikeouts,5,N/A,N/A,6/10/2026,5:46:36 AM,pre_game,MLB,standard,https://static.prizepicks.com/images/players/MLB/Drew_Rasmussen_MLB_player_0eMNIFXZj8x4q1tjUhwyPj5m-450.webp,12568694,5.50,42.78,57.22,-0.59,57.22,Under,https://www.freeiconspng.com/img/1934,2026-06-10T17:11:00Z,Yes,-1.5,7.5,Red Sox @ Rays,2026-06-10T17:10:00Z,Wed 01:10pm,Tropicana Field,indoor,,-134.000,-122.000,6/10/2026,4.706,,,,No,BOS,28.89,5.91,58.37150438,41.62849562,41.62849562,4.71,25,0.08333,over,5.73,4.789131,5.15,5.5,Push
PrizePicks,MLB,67645,Jarren Duran,OF,BOS,Hitter Fantasy Score,11.5,TRUE,N/A,6/10/2026,5:46:36 AM,pre_game,MLB,demon,https://static.prizepicks.com/images/players/MLB/Jarren_Duran_MLB_player_MXGWcIaJ1NkfTndW0nYq4gdm-450.webp,12555609,,,,,,Under,,2026-06-10T17:11:00Z,No,1.5,7.5,Red Sox @ Rays,2026-06-10T17:10:00Z,Wed 01:10pm,Tropicana Field,indoor,,,,,6.810,,,,No,TB,6.81,2.77,42.42045695,57.57954305,42.42045695,6.81,4,0.03989,over,6.18,6.849888,6.61,-0.07,Push
PrizePicks,MLB,162220,Junior Caminero,IF,TB,Hitter Fantasy Score,11.5,TRUE,N/A,6/10/2026,5:46:36 AM,pre_game,MLB,demon,https://static.prizepicks.com/images/players/MLB/Junior_Caminero_MLB_player_kMEY3512DjRv76TVQ3JAv1L5-450.webp,12555618,,,,,,Under,,2026-06-10T17:11:00Z,Yes,-1.5,7.5,Red Sox @ Rays,2026-06-10T17:10:00Z,Wed 01:10pm,Tropicana Field,indoor,,,,,7.290,,,,No,BOS,7.29,3.5,42.79252611,57.20747389,42.79252611,7.29,11,0.0077,over,8.92,7.2977,7.84,-0.36,Push
PrizePicks,MLB,67504,Yandy Díaz,DH,TB,Hitter Fantasy Score,10.5,TRUE,N/A,6/10/2026,5:46:36 AM,pre_game,MLB,demon,https://static.prizepicks.com/images/players/MLB/Yandy_D%C3%ADaz_MLB_player_Cch3vlbebMU8pRXLKpyAvvED-450.webp,12555594,,,,,,Under,,2026-06-10T17:11:00Z,Yes,-1.5,7.5,Red Sox @ Rays,2026-06-10T17:10:00Z,Wed 01:10pm,Tropicana Field,indoor,,,,,7.200,,,,No,BOS,7.2,3.67,43.55538922,56.44461078,43.55538922,7.2,11,0.00807,over,9.91,7.208074,8.11,-0.3,Push
PrizePicks,MLB,162832,Ceddanne Rafaela,OF,BOS,Hitter Fantasy Score,9.5,TRUE,N/A,6/10/2026,5:46:36 AM,pre_game,MLB,demon,https://static.prizepicks.com/images/players/MLB/Ceddanne_Rafaela_MLB_player_CPjRlnM5rQOMpqnwW68Dx37G.webp,12555612,,,,,,Under,,2026-06-10T17:11:00Z,No,1.5,7.5,Red Sox @ Rays,2026-06-10T17:10:00Z,Wed 01:10pm,Tropicana Field,indoor,,,,,5.480,,,,No,TB,5.48,2.36,42.5457791,57.4542209,42.5457791,5.48,4,0.03398,over,5.12,5.513984,4.08,0.2,Push
PrizePicks,MLB,235841,Chandler Simpson,OF,TB,Hitter Fantasy Score,9.5,TRUE,N/A,6/10/2026,5:46:36 AM,pre_game,MLB,demon,https://static.prizepicks.com/images/players/MLB/Chandler_Simpson_MLB_player_FKTub2L5snVNM4hhPUL5oBrz-450.webp,12555621,,,,,,Under,,2026-06-10T17:11:00Z,Yes,-1.5,7.5,Red Sox @ Rays,2026-06-10T17:10:00Z,Wed 01:10pm,Tropicana Field,indoor,,,,,5.890,,,,No,BOS,5.89,2.11,42.94266583,57.05733417,42.94266583,5.89,11,0.00464,over,3.8,5.894642,5.19,0,Push
PrizePicks,MLB,151150,Wilyer Abreu,OF,BOS,Hitter Fantasy Score,9.5,TRUE,N/A,6/10/2026,5:46:36 AM,pre_game,MLB,demon,https://static.prizepicks.com/images/players/MLB/Wilyer_Abreu_MLB_player_CMXNZZTgnZURp9HXIzr8xigZ-450.webp,12555639,,,,,,Under,,2026-06-10T17:11:00Z,No,1.5,7.5,Red Sox @ Rays,2026-06-10T17:10:00Z,Wed 01:10pm,Tropicana Field,indoor,,,,,6.830,,,,No,TB,6.83,2.94,44.21153506,55.78846494,44.21153506,6.83,4,0.04234,over,6.29,6.872336,6.66,-0.13,Push
PrizePicks,MLB,78732,Jonathan Aranda,IF,TB,Hitter Fantasy Score,8.5,TRUE,N/A,6/10/2026,5:46:36 AM,pre_game,MLB,demon,https://static.prizepicks.com/images/players/MLB/Jonathan_Aranda_MLB_player_ytvsezyYeyCRu97xWRcSbfAJ-450.webp,12555603,,,,,,Under,,2026-06-10T17:11:00Z,Yes,-1.5,7.5,Red Sox @ Rays,2026-06-10T17:10:00Z,Wed 01:10pm,Tropicana Field,indoor,,,,,5.440,,,,No,BOS,5.44,2.78,43.34367746,56.65632254,43.34367746,5.44,11,0.00612,over,7.17,5.446116,6.02,-0.38,Push
PrizePicks,MLB,308709,Willson Contreras,IF,BOS,Hitter Fantasy Score,8.5,TRUE,N/A,6/10/2026,5:46:36 AM,pre_game,MLB,demon,https://static.prizepicks.com/images/manual/Willson_Contreras-.png,12555606,,,,,,Under,,2026-06-10T17:11:00Z,No,1.5,7.5,Red Sox @ Rays,2026-06-10T17:10:00Z,Wed 01:10pm,Tropicana Field,indoor,,,,,6.160,,,,No,TB,6.16,2.95,44.49526952,55.50473048,44.49526952,6.16,4,0.04248,over,7.91,6.20248,6.76,-0.22,Push
PrizePicks,MLB,127283,Masataka Yoshida,DH,BOS,Hitter Fantasy Score,8.5,TRUE,N/A,6/10/2026,5:46:36 AM,pre_game,MLB,demon,https://static.prizepicks.com/images/players/MLB/Masataka_Yoshida_MLB_player_7qaoLdqHr1u4FImd7Tn84Ala-450.webp,12555624,,,,,,Under,,2026-06-10T17:11:00Z,No,1.5,7.5,Red Sox @ Rays,2026-06-10T17:10:00Z,Wed 01:10pm,Tropicana Field,indoor,,,,,4.790,,,,No,TB,4.79,2.29,42.58739374,57.41260626,42.58739374,4.79,4,0.03298,over,4.1,4.822976,4.57,-0.16,Push
