Source,Sport,Player ID,Player Name,Position,Team,Stat Type,Line Score,Adjusted Odds,Implied Probability,Date,Start Time (CST),Status,League,Odds Type,Headshot URL,Data ID,Average Line,Average No-Vig Over %,Average No-Vig Under %,Percent Difference,Max No-Vig %,Bet Tag,Player Image,Game Start Time,Fav,Spread,O/U,Game Short Title,Scheduled At,Match Progress,Venue Name,Venue Type,Broadcasts,Max No-Vig % Price,True Price,Date,True Point Average Line,EST. Return Date,Injury Status,Comment,Starter,Opp,PrizePicks,Opportunities,Edge % Over,Edge % Under,Edge %,DvP Projection,DVP Rank,Opp +/-,DVP Bet,Average Projected,DVP Adjusted,Total Projection,Underdog Line,Callout Bet Tag
PrizePicks,Soccer,325334,Orlando Mosquera + Jordan Pickford,Goalkeeper,Panama/England,Passes Attempted (Combo),59.5,N/A,,6/27/2026,9:00:00 AM,pre_game,WORLD CUP,standard,https://static.prizepicks.com/images/players/CMBO_group_tQseIhhrogbNinxQpBkaCKGI.webp,12844872,,,,,,,https://static.prizepicks.com/images/players/CMBO_group_tQseIhhrogbNinxQpBkaCKGI.webp,9:00 AM,,,,,9:00 AM,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,Push
PrizePicks,Soccer,322194,Orlando Mosquera,Goalkeeper,Panama,Passes Attempted,30.5,N/A,,6/27/2026,9:00:00 AM,pre_game,WORLD CUP,standard,https://static.prizepicks.com/images/manual/Orlando Mosquera WC.webp,12843099,30.5,50,50,,,Push,https://static.prizepicks.com/images/manual/Orlando Mosquera WC.webp,9:00 AM,Panama,1.2,2.5,,9:00 AM,,,,,,,,30.50,,,,,,,,50,50,50.0,,,,,30.5,30.5,30.5,30.5,Push
PrizePicks,Soccer,322118,Harry Kane,Attacker,England,Shots,4.5,N/A,,6/27/2026,9:00:00 AM,pre_game,WORLD CUP,standard,https://static.prizepicks.com/images/players/soccer/SCR_team_mbukzpTksp7Kv80dQi4PgruY_b9g4qurpll4wizajo95c406hh.webp,12842979,5.5,48.28,51.72,-23.34,51.72,Under,https://static.prizepicks.com/images/players/soccer/SCR_team_mbukzpTksp7Kv80dQi4PgruY_b9g4qurpll4wizajo95c406hh.webp,9:00 AM,England,-1.7,2.6,,9:00 AM,,,,,,,,5.50,,,,,,,,48.968,51.032,49.0,,,,,5.5,5.5,5.5,4.5,Push
PrizePicks,Soccer,322194,Orlando Mosquera,Goalkeeper,Panama,Goalie Saves,4.5,N/A,,6/27/2026,9:00:00 AM,pre_game,WORLD CUP,standard,https://static.prizepicks.com/images/manual/Orlando Mosquera WC.webp,12843098,4.5,52.88,47.12,,,Over,https://static.prizepicks.com/images/manual/Orlando Mosquera WC.webp,9:00 AM,Panama,1.2,2.5,,9:00 AM,,,,,,,,4.50,,,,,,,,52.88,47.12,52.9,,,,,4.5,4.5,4.5,4.5,Push
PrizePicks,Soccer,322186,José Córdoba,Defender,Panama,Clearances,4.5,N/A,,6/27/2026,9:00:00 AM,pre_game,WORLD CUP,standard,https://static.prizepicks.com/images/players/soccer/SCR_team_Cf1uqeD5asM5pT2ePHwcDSre_4w81878nkgucue9xq5zt37yp6.webp,12843619,,,,,,,https://static.prizepicks.com/images/players/soccer/SCR_team_Cf1uqeD5asM5pT2ePHwcDSre_4w81878nkgucue9xq5zt37yp6.webp,9:00 AM,Panama,1.2,2.5,,9:00 AM,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,Push
PrizePicks,Soccer,322130,Jude Bellingham,Midfielder,England,Shots,2.5,N/A,,6/27/2026,9:00:00 AM,pre_game,WORLD CUP,standard,https://static.prizepicks.com/images/players/soccer/SCR_team_mbukzpTksp7Kv80dQi4PgruY_e83ula4wockmc2xid7185kcq2.webp,12842980,3,49.36,50.64,-33.86,50.64,Under,https://static.prizepicks.com/images/players/soccer/SCR_team_mbukzpTksp7Kv80dQi4PgruY_e83ula4wockmc2xid7185kcq2.webp,9:00 AM,England,-1.7,2.6,,9:00 AM,,,,,,,,3.00,,,,,,,,49.552,50.448,49.6,,,,,3,3,3,,Push
PrizePicks,Soccer,322137,Marcus Rashford,Attacker,England,Shots,2.5,N/A,,6/27/2026,9:00:00 AM,pre_game,WORLD CUP,standard,https://static.prizepicks.com/images/players/soccer/SCR_team_mbukzpTksp7Kv80dQi4PgruY_604osk9a3lxpfpkavuziqmn6x.webp,12842986,3.5,46.29,53.71,-30.79,53.71,Under,https://static.prizepicks.com/images/players/soccer/SCR_team_mbukzpTksp7Kv80dQi4PgruY_604osk9a3lxpfpkavuziqmn6x.webp,9:00 AM,England,-1.7,2.6,,9:00 AM,,,,,,,,3.50,,,,,,,,47.774,52.226,47.8,,,,,3.5,3.5,3.5,2.5,Push
PrizePicks,Soccer,322143,Morgan Rogers,Attacker,England,Shots,2.5,N/A,,6/27/2026,9:00:00 AM,pre_game,WORLD CUP,standard,https://static.prizepicks.com/images/players/soccer/SCR_team_mbukzpTksp7Kv80dQi4PgruY_2eayhzdix8knmn810sbngsdt5.webp,12842990,2.75,51.49,48.51,-39.32,51.49,Push,https://static.prizepicks.com/images/players/soccer/SCR_team_mbukzpTksp7Kv80dQi4PgruY_2eayhzdix8knmn810sbngsdt5.webp,9:00 AM,England,-1.7,2.6,,9:00 AM,,,,,,,,2.75,,,,,,,,51.49,48.51,50.0,,,,,2.75,2.75,2.75,2.5,Push
PrizePicks,Soccer,322165,Carlos Harvey,Midfielder,Panama,Tackles,2.5,N/A,,6/27/2026,9:00:00 AM,pre_game,WORLD CUP,standard,https://static.prizepicks.com/images/players/soccer/SCR_team_Cf1uqeD5asM5pT2ePHwcDSre_3ybnbzd94ggt62wtqhtnbb1be.webp,12843614,,,,,,,https://static.prizepicks.com/images/players/soccer/SCR_team_Cf1uqeD5asM5pT2ePHwcDSre_3ybnbzd94ggt62wtqhtnbb1be.webp,9:00 AM,Panama,1.2,2.5,,9:00 AM,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,Push
PrizePicks,Soccer,322110,Declan Rice,Midfielder,England,Shots Assisted,2.5,N/A,,6/27/2026,9:00:00 AM,pre_game,WORLD CUP,standard,https://static.prizepicks.com/images/players/soccer/SCR_team_mbukzpTksp7Kv80dQi4PgruY_6jgocc12bori2wygyu07c082x.webp,12843667,,,,,,,https://static.prizepicks.com/images/players/soccer/SCR_team_mbukzpTksp7Kv80dQi4PgruY_6jgocc12bori2wygyu07c082x.webp,9:00 AM,England,-1.7,2.6,,9:00 AM,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,Push
PrizePicks,Soccer,322118,Harry Kane,Attacker,England,Shots On Target,2,N/A,,6/27/2026,9:00:00 AM,pre_game,WORLD CUP,standard,https://static.prizepicks.com/images/players/soccer/SCR_team_mbukzpTksp7Kv80dQi4PgruY_b9g4qurpll4wizajo95c406hh.webp,12842975,2.08,49.21,50.79,-37.04,50.79,Push,https://static.prizepicks.com/images/players/soccer/SCR_team_mbukzpTksp7Kv80dQi4PgruY_b9g4qurpll4wizajo95c406hh.webp,9:00 AM,England,-1.7,2.6,,9:00 AM,,,,,,,,2.08,,,,,,,,49.21,50.79,50.0,,,,,2.08,2.08,2.08,,Push
PrizePicks,Soccer,322105,Anthony Gordon,Attacker,England,Shots,2,N/A,,6/27/2026,9:00:00 AM,pre_game,WORLD CUP,standard,https://static.prizepicks.com/images/players/soccer/SCR_team_mbukzpTksp7Kv80dQi4PgruY_8mjj0wgufggpc1ai2dk21h90p.webp,12842989,2.83,48.16,51.84,-35.42,51.84,Under,https://static.prizepicks.com/images/players/soccer/SCR_team_mbukzpTksp7Kv80dQi4PgruY_8mjj0wgufggpc1ai2dk21h90p.webp,9:00 AM,England,-1.7,2.6,,9:00 AM,,,,,,,,2.83,,,,,,,,48.896,51.104,48.9,,,,,2.83,2.83,2.83,,Push
