Player + Prop,Player + Prop + Line,Sport,Player ID,Player Name,Position,Team,Stat Type,Line Score,Adjusted Odds,Date,Start Time (CST),Status,League,Odds Type,Headshot URL,Data ID,Average Line,Average No-Vig Over %,Average No-Vig Under %,Percent Difference,Max No-Vig %,Bet Tag,Player Image,Game Start Time,Fav,Spread,O/U,Game Short Title,Scheduled At,Match Progress,Venue Name,Venue Type,Broadcasts,Max No-Vig % Price,True Price,Date,True Point Average Line,EST. Return Date,Injury Status,Comment,Starter,Opp,PrizePicks,Opportunities,Edge % Over,Edge % Under,Edge %,DvP Projection,DVP Rank,Opp +/-,DVP Bet,Average Projected,DVP Adjusted,Total Projection,Underdog Line,Callout Bet Tag
Kelsey Mitchell + Shakira AustinPoints(Combo),Kelsey Mitchell + Shakira AustinPoints(Combo)43.5,WNBA,322709,Kelsey Mitchell + Shakira Austin,G,IND/WAS,Points (Combo),43.5,N/A,9/20/2026,12/30/1899,pre_game,WNBA,standard,https://static.prizepicks.com/images/players/CMBO_group_eYgnLxMfcUquRsYP2edy4kdT.webp,15058660,,,,,,,,,Yes,-6.4,177.7,Mystics @ Fever,2026-09-20T20:00:00Z,Sun 04:00pm,N/A,N/A,NBA TV,,,9/20/2026,,,,,No,,,0,,,,0,,0,,0,0,43.5,0,Push
Caitlin Clark + Shakira AustinPoints(Combo),Caitlin Clark + Shakira AustinPoints(Combo)40,WNBA,322710,Caitlin Clark + Shakira Austin,G,IND/WAS,Points (Combo),40,N/A,9/20/2026,12/30/1899,pre_game,WNBA,standard,https://static.prizepicks.com/images/players/CMBO_group_xSIhwNnzIC1zoCA6oR9xAZiN.webp,15058662,,,,,,,,,Yes,-6.4,177.7,Mystics @ Fever,2026-09-20T20:00:00Z,Sun 04:00pm,N/A,N/A,NBA TV,,,9/20/2026,,,,,No,,,0,,,,0,,0,,0,0,40,0,Push
Caitlin ClarkFantasyScore,Caitlin ClarkFantasyScore39.5,WNBA,237851,Caitlin Clark,G,IND,Fantasy Score,39.5,N/A,9/20/2026,12/30/1899,pre_game,WNBA,standard,https://static.prizepicks.com/images/players/WNBA/Caitlin_Clark_WNBA_player_QSGioalNHPIX9vjS6b9g2AVO.webp,15054665,,,,,,Push,,,Yes,-6.4,177.7,Mystics @ Fever,2026-09-20T20:00:00Z,Sun 04:00pm,N/A,N/A,NBA TV,,,9/20/2026,38.52,,,,No,SEA,38.52,31,50,50,50,38.52,,0,,38.52,38.52,38.92,39.55,Push
Caitlin Clark + Sonia CitronPoints(Combo),Caitlin Clark + Sonia CitronPoints(Combo)38.5,WNBA,318194,Caitlin Clark + Sonia Citron,G,IND/WAS,Points (Combo),38.5,N/A,9/20/2026,12/30/1899,pre_game,WNBA,standard,https://static.prizepicks.com/images/players/CMBO_group_RaYQUYPnIFSLjZ2F4a84DgGR.webp,15058659,,,,,,,,,Yes,-6.4,177.7,Mystics @ Fever,2026-09-20T20:00:00Z,Sun 04:00pm,N/A,N/A,NBA TV,,,9/20/2026,,,,,No,,,0,,,,0,,0,,0,0,38.5,0,Push
Caitlin Clark + Kiki IriafenPoints(Combo),Caitlin Clark + Kiki IriafenPoints(Combo)38.5,WNBA,322711,Caitlin Clark + Kiki Iriafen,G,IND/WAS,Points (Combo),38.5,N/A,9/20/2026,12/30/1899,pre_game,WNBA,standard,https://static.prizepicks.com/images/players/CMBO_group_nKD0AJWcL7BeyLS1MhOZ5Xkz.webp,15058663,,,,,,,,,Yes,-6.4,177.7,Mystics @ Fever,2026-09-20T20:00:00Z,Sun 04:00pm,N/A,N/A,NBA TV,,,9/20/2026,,,,,No,,,0,,,,0,,0,,0,0,38.5,0,Push
Aliyah BostonFantasyScore,Aliyah BostonFantasyScore36.5,WNBA,237853,Aliyah Boston,FC,IND,Fantasy Score,36.5,N/A,9/20/2026,12/30/1899,pre_game,WNBA,standard,https://static.prizepicks.com/images/players/WNBA/Aliyah_Boston_WNBA_player_G6uHubog9X1bQPpQo9lPzFr9.webp,15054664,,,,,,Under,,,Yes,-6.4,177.7,Mystics @ Fever,2026-09-20T20:00:00Z,Sun 04:00pm,N/A,N/A,NBA TV,,,9/20/2026,32.79,,,,No,SEA,32.79,29,48.14,51.86,51.86,32.79,,0,,32.79,32.79,34.28,36.55,Great Bet
Shakira AustinFantasyScore,Shakira AustinFantasyScore36.5,WNBA,64392,Shakira Austin,C,WAS,Fantasy Score,36.5,N/A,9/20/2026,12/30/1899,pre_game,WNBA,standard,https://static.prizepicks.com/images/players/WNBA/Shakira_Austin_WNBA_player_MA9Pc3OblxHKTZfe7e7MWhC7.webp,15055147,,,,,,Under,,,No,6.4,177.7,Mystics @ Fever,2026-09-20T20:00:00Z,Sun 04:00pm,N/A,N/A,NBA TV,,,9/20/2026,33.72,,,,No,IND,33.72,29,48.47,51.53,51.53,33.72,5,-0.0456,under,33.72,33.67,34.83,36.55,Great Bet
Caitlin ClarkPts+Rebs+Asts,Caitlin ClarkPts+Rebs+Asts35,WNBA,237851,Caitlin Clark,G,IND,Pts+Rebs+Asts,35,TRUE,9/20/2026,12/30/1899,pre_game,WNBA,standard,https://static.prizepicks.com/images/players/WNBA/Caitlin_Clark_WNBA_player_QSGioalNHPIX9vjS6b9g2AVO.webp,15044716,35.67,49.62,50.38,-7.43,50.38,Under,https://www.freeiconspng.com/img/1934,,Yes,-6.4,177.7,Mystics @ Fever,2026-09-20T20:00:00Z,Sun 04:00pm,N/A,N/A,NBA TV,,,9/20/2026,35.67,,,,No,SEA,38.52,31,49.13754766,50.86245234,50,35.67,,0,,35.67,35.67,35.5,0,Push
Kelsey MitchellFantasyScore,Kelsey MitchellFantasyScore33.5,WNBA,237852,Kelsey Mitchell,G,IND,Fantasy Score,33.5,N/A,9/20/2026,12/30/1899,pre_game,WNBA,standard,https://static.prizepicks.com/images/players/WNBA/Kelsey_Mitchell_WNBA_player_EIjpvNmrTSUtZ3DS46UvarB1.webp,15054666,,,,,,Under,,,Yes,-6.4,177.7,Mystics @ Fever,2026-09-20T20:00:00Z,Sun 04:00pm,N/A,N/A,NBA TV,,,9/20/2026,32.26,,,,No,SEA,32.26,31,48.97,51.03,51.03,32.26,,0,,32.26,32.26,32.97,34.55,Great Bet
Aliyah Boston + Shakira AustinPoints(Combo),Aliyah Boston + Shakira AustinPoints(Combo)33.5,WNBA,346355,Aliyah Boston + Shakira Austin,FC,IND/WAS,Points (Combo),33.5,N/A,9/20/2026,12/30/1899,pre_game,WNBA,standard,https://static.prizepicks.com/images/players/CMBO_group_gsHXEA9mvaeErcgHAOLk3hI3.webp,15058670,,,,,,,,,Yes,-6.4,177.7,Mystics @ Fever,2026-09-20T20:00:00Z,Sun 04:00pm,N/A,N/A,NBA TV,,,9/20/2026,,,,,No,,,0,,,,0,,0,,0,0,33.5,0,Push
